borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,timestamp,latitude,longitude,location,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
,Passing Too Closely,Unspecified,,,,,2016-03-29T17:03:00,,,,0,0,1,0,0,0,1,0,,QMT                             ,3425633,4 dr sedan,Dump,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2016-03-16T08:20:00,,,,0,0,2,0,0,0,2,0,hazen street                            ,,3428698,4 dr sedan,4 dr sedan,,,,
,Turning Improperly,Traffic Control Disregarded,,,,,2016-03-07T16:39:00,,,,0,0,0,0,0,0,0,0,,,3401552,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,,
,Backing Unsafely,Unspecified,,,,WEST HOUSTON STREET             ,2016-02-25T22:53:00,,,,0,0,0,0,0,0,0,0,,AVENUE OF THE AMERICAS          ,3396402,TAXI,PASSENGER VEHICLE,,,,
,Turning Improperly,Unspecified,,,,CLINTON STREET                  ,2016-03-03T06:45:00,,,,0,0,0,0,0,0,0,0,,HAMILTON AVENUE                 ,3398869,PASSENGER VEHICLE,VAN,,,,
,Fatigued/Drowsy,Unspecified,,,,BRADLEY AVENUE                  ,2016-03-10T00:24:00,,,,0,0,0,0,0,0,0,0,,NORTH GANNON AVENUE             ,3403301,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,91 PLACE                        ,2016-01-30T15:30:00,,,,0,0,0,0,0,0,0,0,,CORONA AVENUE                   ,3381714,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,HOOKER PLACE                    ,2016-02-09T14:10:00,,,,0,0,0,0,0,0,0,0,,NICHOLAS AVENUE                 ,3386528,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2016-01-31T21:40:00,,,,0,0,0,0,0,0,0,0,,,3381304,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,LAMBERTS LANE                   ,2016-02-07T23:00:00,,,,0,0,0,0,0,0,0,0,,ARLENE STREET                   ,3385983,PASSENGER VEHICLE,UNKNOWN,,,,
,Backing Unsafely,Unspecified,,,,KINGSLAND AVENUE                ,2016-02-01T13:10:00,,,,0,0,0,0,0,0,0,0,,MEEKER AVENUE                   ,3381572,OTHER,SPORT UTILITY / STATION WAGON,,,,
,Backing Unsafely,,,,,CENTRAL AVENUE                  ,2016-02-12T15:10:00,,,,0,0,0,0,1,0,1,0,,BAYPORT PLACE                   ,3388068,PASSENGER VEHICLE,,,,,
,Fatigued/Drowsy,Fatigued/Drowsy,,,,,2016-02-15T12:18:00,,,,0,0,0,0,0,0,0,0,,,3389340,PASSENGER VEHICLE,TAXI,,,,
,Fatigued/Drowsy,Unspecified,,,,CROSS BRONX EXPRESSWAY          ,2016-01-17T17:49:00,,,,0,0,0,0,0,0,0,0,,CROTONA AVENUE                  ,3373285,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2016-01-19T18:20:00,,,,0,0,0,0,0,0,0,0,,,3374037,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,PORT RICHMOND AVENUE            ,2016-01-05T14:40:00,,,,0,0,0,0,0,0,0,0,,HATFIELD PLACE                  ,3365742,VAN,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,FDR DRIVE                       ,2016-01-13T08:30:00,,,,0,0,0,0,0,0,0,0,,EAST 34 STREET                  ,3369849,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Outside Car Distraction,Outside Car Distraction,,,,BEDFORD AVENUE                  ,2016-01-15T17:20:00,,,,0,0,0,0,0,0,0,0,,CATON AVENUE                    ,3372380,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,INNIS STREET                    ,2016-01-17T21:04:00,,,,0,0,0,0,0,0,0,0,,TRANTOR PLACE                   ,3373086,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,SHORE PARKWAY                   ,2015-12-21T17:30:00,,,,0,0,0,0,0,0,0,0,,SHEEPSHEAD BAY ROAD             ,3357988,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Lost Consciousness,Unspecified,,,,,2015-11-17T21:55:00,,,,0,0,0,0,0,0,0,0,,,3337014,LIVERY VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,,2015-10-26T16:00:00,,,,0,0,0,0,0,0,0,0,,,3323187,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Turning Improperly,Other Vehicular,,,,,2015-11-08T20:45:00,,,,0,0,0,0,0,0,0,0,,,3332381,LARGE COM VEH(6 OR MORE TIRES),SPORT UTILITY / STATION WAGON,,,,
,Fatigued/Drowsy,Unspecified,,,,,2015-12-09T12:00:00,,,,0,0,0,0,0,0,0,0,PARKING LOT OF 133-11 20 AVENUE         ,,3350596,PASSENGER VEHICLE,UNKNOWN,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,EAST 34 STREET                  ,2015-12-18T09:12:00,,,,0,0,0,0,0,0,0,0,,KINGS HIGHWAY                   ,3356771,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fell Asleep,Unspecified,,,,1 AVENUE                        ,2015-12-02T17:05:00,,,,0,0,0,0,0,0,0,0,,EAST 28 STREET                  ,3345072,LIVERY VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,GRAND CENTRAL PARKWAY S SVC RD  ,2015-12-14T07:15:00,,,,0,0,1,0,0,0,1,0,,CLOVERDALE BOULEVARD            ,3352995,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Lost Consciousness,Unspecified,,,,RIVERSIDE DRIVE                 ,2015-12-16T11:20:00,,,,0,0,0,0,0,0,0,0,,WEST 158 STREET                 ,3354057,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,,2015-12-06T15:30:00,,,,0,0,0,0,0,0,0,0,,,3348659,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2015-11-27T07:30:00,,,,0,0,0,0,0,0,0,0,,,3342865,SPORT UTILITY / STATION WAGON,FIRE TRUCK,,,,
,Unspecified,,,,,,2015-11-01T14:10:00,,,,0,0,0,0,0,0,0,0,FLUSHING MEADOW PARK                    ,,3327056,PASSENGER VEHICLE,,,,,
,Fatigued/Drowsy,Unspecified,,,,,2015-11-02T08:00:00,,,,0,0,0,0,0,0,0,0,,,3326910,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,86 AVENUE                       ,2015-11-18T09:23:00,,,,0,0,1,0,0,0,1,0,,104 STREET                      ,3336957,PICK-UP TRUCK,PASSENGER VEHICLE,,,,
,Unspecified,,,,,QUEENS BOULEVARD                ,2015-11-05T17:45:00,,,,0,0,0,0,1,0,1,0,,YELLOWSTONE BOULEVARD           ,3329154,PASSENGER VEHICLE,,,,,
,Driver Inattention/Distraction,Unspecified,,,,EAST 149 STREET                 ,2015-11-06T22:00:00,,,,0,0,0,0,0,0,0,0,,EXTERIOR STREET                 ,3329432,PASSENGER VEHICLE,VAN,,,,
,Unspecified,Unspecified,,,,,2015-11-17T17:17:00,,,,0,0,0,0,0,0,0,0,,,3336747,PASSENGER VEHICLE,UNKNOWN,,,,
,Fatigued/Drowsy,Unspecified,,,,2 AVENUE                        ,2015-11-03T13:20:00,,,,0,0,0,0,0,0,0,0,,EAST HOUSTON STREET             ,3327151,SMALL COM VEH(4 TIRES) ,TAXI,,,,
,Unspecified,Unspecified,,,,CLEARVIEW EXPRESSWAY            ,2015-11-09T15:10:00,,,,0,0,0,0,0,0,0,0,,34 AVENUE                       ,3332089,PASSENGER VEHICLE,UNKNOWN,,,,
,Driver Inattention/Distraction,Unspecified,,,,ROCKAWAY BEACH BOULEVARD        ,2015-10-24T16:00:00,,,,0,0,0,0,0,0,0,0,,BEACH CHANNEL DRIVE             ,3325643,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,,,,,,2015-10-14T03:50:00,,,,0,0,0,0,0,0,0,0,1377 FOREST AVENUE                      ,,3316145,LARGE COM VEH(6 OR MORE TIRES),,,,,
,Driver Inattention/Distraction,Unspecified,,,,SHORE PARKWAY                   ,2015-10-19T19:50:00,,,,0,0,0,0,0,0,0,0,,CONEY ISLAND AVENUE             ,3318162,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Backing Unsafely,Unspecified,,,,85 ROAD                         ,2015-10-02T15:00:00,,,,0,0,0,0,0,0,0,0,,101 STREET                      ,3307602,PASSENGER VEHICLE,BUS,,,,
,Other Vehicular,Outside Car Distraction,,,,,2015-10-01T08:30:00,,,,0,0,0,0,0,0,0,0,,,3306689,VAN,LARGE COM VEH(6 OR MORE TIRES),,,,
,Unspecified,,,,,,2015-09-22T14:00:00,,,,0,0,0,0,0,0,0,0,,,3303360,PASSENGER VEHICLE,UNKNOWN,,,,
,Backing Unsafely,Unspecified,,,,,2015-09-23T21:37:00,,,,0,0,0,0,0,0,0,0,PARKING LOT-772 EDGEWATER RD            ,,3304229,LARGE COM VEH(6 OR MORE TIRES),LARGE COM VEH(6 OR MORE TIRES),,,,
,Turning Improperly,Unspecified,,,,,2015-09-17T19:46:00,,,,0,0,0,0,0,0,0,0,,,3298924,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,108 STREET                      ,2015-09-07T19:13:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,3292669,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,EAST MT EDEN AVENUE             ,2015-09-14T18:35:00,,,,0,0,0,0,0,0,0,0,,MORRIS AVENUE                   ,3296833,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2015-09-09T10:53:00,,,,0,0,0,0,0,0,0,0,2884 HEALTH AVENUE                      ,,3293053,SPORT UTILITY / STATION WAGON,UNKNOWN,,,,
,Unspecified,Unspecified,,,,SAYBROOK STREET                 ,2015-08-25T00:20:00,,,,0,0,1,0,0,0,1,0,,VICTORY BOULEVARD               ,3284375,PASSENGER VEHICLE,UNKNOWN,,,,
,Alcohol Involvement,Unspecified,,,,,2015-08-21T11:43:00,,,,0,0,0,0,0,0,0,0,,,3285857,PASSENGER VEHICLE,PICK-UP TRUCK,,,,
,Other Vehicular,Unspecified,,,,BLAKE AVENUE                    ,2015-08-21T09:10:00,,,,0,0,0,0,0,0,0,0,,HOWARD AVENUE                   ,3281750,PASSENGER VEHICLE,UNKNOWN,,,,
,Prescription Medication,Prescription Medication,,,,RICHMOND TERRACE                ,2015-08-30T22:10:00,,,,0,0,0,0,0,0,0,0,,UNION AVENUE                    ,3287836,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,SHORE PARKWAY                   ,2015-07-14T17:21:00,,,,0,0,0,0,0,0,0,0,,26 AVENUE                       ,3258721,BUS,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2015-06-23T20:00:00,,,,0,0,0,0,0,0,0,0,,,3244864,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Physical Disability,Physical Disability,,,,CROSS BRONX EXPRESSWAY          ,2015-06-17T21:45:00,,,,0,0,0,0,0,0,0,0,,LAFAYETTE AVENUE                ,3241751,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,BROOKVILLE BOULEVARD            ,2015-07-09T18:00:00,,,,0,0,0,0,0,0,0,0,,ROCKAWAY BOULEVARD              ,3255698,BUS,PASSENGER VEHICLE,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2015-07-06T14:04:00,,,,0,0,0,0,0,0,0,0,(LOT)137 AVENUE && 168 STREET           ,,3253199,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,RIVERSIDE DRIVE                 ,2015-06-21T19:20:00,,,,0,0,0,0,0,0,0,0,,WEST 158 STREET                 ,3242781,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,MARSH AVENUE                    ,2015-06-19T13:00:00,,,,0,0,0,0,0,0,0,0,,RICHMOND HILL ROAD              ,3243915,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,DECATUR AVENUE                  ,2015-07-01T08:51:00,,,,0,0,0,0,0,0,0,0,,EAST 209 STREET                 ,3250335,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2015-06-18T13:21:00,,,,0,0,0,0,0,0,0,0,,,3242042,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,,,,,,2015-06-27T15:45:00,,,,0,0,0,0,0,0,0,0,PL OF 2474 FOREST AVENUE               ,,3248670,SPORT UTILITY / STATION WAGON,,,,,
,Unspecified,Unspecified,,,,,2015-06-12T17:10:00,,,,0,0,0,0,0,0,0,0,,,3238465,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,GRAND CENTRAL PARKWAY           ,2015-05-26T16:30:00,,,,0,0,0,0,0,0,0,0,,160 STREET                      ,3227925,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,SURREY PLACE                    ,2015-06-08T16:40:00,,,,0,0,1,0,0,0,1,0,,UNION TURNPIKE                  ,3236239,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,EAST 138 STREET                 ,2015-06-02T09:14:00,,,,0,0,0,0,0,0,0,0,,BRUCKNER BOULEVARD              ,3232176,PASSENGER VEHICLE,OTHER,,,,
,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,VELTMAN AVENUE                  ,2015-05-26T13:30:00,,,,0,0,0,0,0,0,0,0,,FOREST AVENUE                   ,3228066,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Traffic Control Disregarded,,,,,,2015-06-09T12:24:00,,,,0,0,1,0,0,0,1,0,,,3237449,MOTORCYCLE,,,,,
,Turning Improperly,,,,,78 STREET                       ,2015-06-01T02:30:00,,,,0,0,0,0,0,0,0,0,,ATLANTIC AVENUE                 ,3231803,SPORT UTILITY / STATION WAGON,,,,,
,Driver Inattention/Distraction,Backing Unsafely,,,,,2015-05-31T20:30:00,,,,0,0,0,0,0,0,0,0,P/L OF 2600 HYLAN BOULEVARD             ,,3231995,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,WHITE PLAINS ROAD               ,2015-05-05T07:15:00,,,,0,0,0,0,0,0,0,0,,PELHAM PARKWAY                  ,3214779,PASSENGER VEHICLE,BUS,,,,
,Unspecified,Unspecified,,,,,2015-05-20T16:30:00,,,,0,0,0,0,0,0,0,0,,,3224970,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Turning Improperly,Unspecified,,,,MCGUINNESS BOULEVARD            ,2015-05-08T22:15:00,,,,0,0,0,0,0,0,0,0,,MEEKER AVENUE                   ,3217426,OTHER,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,Unspecified,,,,2015-05-21T23:00:00,,,,0,0,0,0,0,0,0,0,,,3225776,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
,Unspecified,Unspecified,,,,BORDEN AVENUE                   ,2015-04-30T05:33:00,,,,0,0,0,0,0,0,0,0,,VANDAM STREET                   ,3212165,TAXI,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,BOSTON ROAD                     ,2015-05-02T18:30:00,,,,0,0,0,0,0,0,0,0,,WHITE PLAINS ROAD               ,3213524,PASSENGER VEHICLE,TAXI,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,CRESTON AVENUE                  ,2015-05-09T10:30:00,,,,0,0,0,0,0,0,0,0,,EAST BURNSIDE AVENUE            ,3217781,TAXI,PASSENGER VEHICLE,,,,
,Other Vehicular,Unspecified,,,,COLLFIELD AVENUE                ,2015-04-22T07:49:00,,,,0,0,0,0,0,0,0,0,,WATCHOGUE ROAD                  ,3207421,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,58 STREET                       ,2015-04-18T11:00:00,,,,0,0,0,0,0,0,0,0,,LAUREL HILL BOULEVARD           ,3206709,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,,
,Turning Improperly,Unspecified,,,,WINTHROP STREET                 ,2015-03-27T07:00:00,,,,0,0,0,0,0,0,0,0,,REMSEN AVENUE                   ,3193081,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,LIBERTY AVENUE                  ,2015-04-02T14:31:00,,,,0,0,0,0,0,0,0,0,,MERRICK BOULEVARD               ,3197123,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,WILSON AVENUE                   ,2015-04-09T10:15:00,,,,0,0,0,0,0,0,0,0,,PELHAM PARKWAY SOUTH            ,3199864,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,HORACE HARDING EXPRESSWAY       ,2015-04-13T08:08:00,,,,0,0,0,0,0,0,0,0,,172 STREET                      ,3202632,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,196 STREET                      ,2015-03-25T07:00:00,,,,0,0,0,0,0,0,0,0,,116 ROAD                        ,3194234,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Brakes Defective,,,,,,2015-03-09T11:15:00,,,,0,0,0,0,0,0,0,0,DRIVEWAY 127-02 35 AVE                  ,,3184612,PASSENGER VEHICLE,,,,,
,Unspecified,,,,,GRAND STREET                    ,2015-02-26T09:57:00,,,,0,0,0,0,1,0,1,0,,WEST BROADWAY                   ,3175744,TAXI,,,,,
,Prescription Medication,Unspecified,,,,WHITESTONE EXPRESSWAY           ,2015-03-04T07:00:00,,,,0,0,0,0,0,0,0,0,,20 AVENUE                       ,3179998,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,AVENUE I                        ,2015-02-27T13:58:00,,,,0,0,0,0,0,0,0,0,,NOSTRAND AVENUE                 ,3176595,SPORT UTILITY / STATION WAGON,TAXI,,,,
,Unspecified,Unspecified,,,,AMSTERDAM AVENUE                ,2015-02-25T16:00:00,,,,0,0,0,0,0,0,0,0,,BROADWAY                        ,3175248,PASSENGER VEHICLE,UNKNOWN,,,,
,Other Vehicular,Driver Inattention/Distraction,,,,88 AVENUE                       ,2015-03-12T17:50:00,,,,0,0,0,0,0,0,0,0,,MERRICK BOULEVARD               ,3185641,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,WHITE PLAINS ROAD               ,2015-02-24T16:40:00,,,,0,0,3,0,0,0,3,0,,PELHAM PARKWAY                  ,3174709,PICK-UP TRUCK,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2015-02-13T18:30:00,,,,0,0,0,0,0,0,0,0,P/L OF 4343 AMBOY ROAD                  ,,3169624,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,MATTHEWS AVENUE                 ,2015-02-14T22:15:00,,,,0,0,0,0,0,0,0,0,,MULINER AVENUE                  ,3169815,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,Unspecified,,,HENRY HUDSON PARKWAY            ,2015-02-22T13:52:00,,,,0,0,0,0,0,0,0,0,,WEST 158 STREET                 ,3173486,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
,Unspecified,Unspecified,,,,HAVEMEYER STREET                ,2015-01-27T17:32:00,,,,0,0,0,0,0,0,0,0,,METROPOLITAN AVENUE             ,3160072,BUS,LARGE COM VEH(6 OR MORE TIRES),,,,
,Unspecified,Unspecified,,,,37 STREET                       ,2015-01-30T21:00:00,,,,0,0,0,0,0,0,0,0,,ASTORIA BOULEVARD NORTH         ,3161739,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,HENRY HUDSON PARKWAY            ,2015-02-07T15:40:00,,,,0,0,0,0,0,0,0,0,,WEST 158 STREET                 ,3165894,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,NOME AVENUE                     ,2015-01-30T12:25:00,,,,0,0,0,0,0,0,0,0,,RICHMOND AVENUE                 ,3161256,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2015-02-03T14:00:00,,,,0,0,0,0,0,0,0,0,P/L OF ALBION PL AND PORT RICHMOND AVE  ,,3163512,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Pavement Slippery,Unspecified,,,,7 AVENUE                        ,2015-02-14T22:30:00,,,,0,0,0,0,0,0,0,0,,POLY PLACE                      ,3169864,PASSENGER VEHICLE,OTHER,,,,
,Pavement Slippery,,,,,21 STREET                       ,2014-10-23T11:03:00,,,,0,0,0,0,0,0,0,0,,QUEENS PLAZA SOUTH              ,2812772,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,164 STREET                      ,2015-01-08T07:35:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,3149719,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Pavement Slippery,Other Vehicular,Unspecified,Unspecified,Unspecified,WEST 236 STREET                 ,2015-01-18T11:00:00,,,,0,0,0,0,0,0,0,0,,RIVERDALE AVENUE                ,3157901,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
,Unspecified,Unspecified,,,,,2014-12-05T06:55:00,,,,0,0,0,0,0,0,0,0,,,3131632,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,,
,Backing Unsafely,Unspecified,,,,,2014-12-15T09:30:00,,,,0,0,0,0,0,0,0,0,,,3138096,SPORT UTILITY / STATION WAGON,OTHER,,,,
,Unspecified,Unspecified,,,,GRANDVIEW AVENUE                ,2014-12-13T09:50:00,,,,0,0,0,0,0,0,0,0,,BRABANT STREET                  ,3136343,PASSENGER VEHICLE,UNKNOWN,,,,
,Aggressive Driving/Road Rage,Aggressive Driving/Road Rage,,,,30 STREET                       ,2014-11-26T19:10:00,,,,0,0,0,0,0,0,0,0,,BORDEN AVENUE                   ,3127584,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,FAHY AVENUE                     ,2014-12-17T08:55:00,,,,0,0,1,0,0,0,1,0,,SOUTH AVENUE                    ,3138883,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Lost Consciousness,Unspecified,,,,,2014-12-11T07:10:00,,,,0,0,0,0,0,0,0,0,,,3134740,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,,2014-12-13T18:30:00,,,,0,0,0,0,0,0,0,0,214-16 41 AVE. & BELL BLVD.             ,,3136837,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Fatigued/Drowsy,Unspecified,,,,,2014-11-12T16:15:00,,,,0,0,0,0,0,0,0,0,,,2880065,TAXI,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,54 STREET                       ,2014-11-19T09:00:00,,,,0,0,1,0,0,0,1,0,,FLUSHING AVENUE                 ,2826450,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Other Vehicular,Traffic Control Disregarded,,,,,2014-11-08T06:22:00,,,,0,0,0,0,0,0,0,0,,,2841193,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,Unspecified,,,,2014-10-30T09:24:00,,,,0,0,0,0,0,0,0,0,,,2938300,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,HUTCHINSON RIVER PARKWAY        ,2014-10-24T13:05:00,,,,0,0,0,0,0,0,0,0,,PELHAM PARKWAY SOUTH            ,2813063,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,,
,Turning Improperly,Unspecified,,,,,2014-10-26T14:48:00,,,,0,0,0,0,0,0,0,0,,,2880031,SMALL COM VEH(4 TIRES) ,SPORT UTILITY / STATION WAGON,,,,
,Turning Improperly,Unspecified,,,,,2014-10-23T09:04:00,,,,0,0,0,0,0,0,0,0,,,2958390,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,,,,,,2014-10-22T05:30:00,,,,0,0,0,0,0,0,0,0,,,3102865,LARGE COM VEH(6 OR MORE TIRES),,,,,
,Driver Inattention/Distraction,,,,,,2014-10-07T17:35:00,,,,0,0,1,0,0,0,1,0,PARKING LOT 167-17 DEPOT RD             ,,1035897,SPORT UTILITY / STATION WAGON,,,,,
,Unspecified,,,,,135 STREET                      ,2014-09-26T19:11:00,,,,0,0,1,0,0,0,1,0,,ROCKAWAY BOULEVARD              ,1030860,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,,2014-10-13T15:05:00,,,,0,0,1,0,0,0,1,0,,,3315140,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,,,,,PUTNAM AVENUE                   ,2014-09-21T20:50:00,,,,0,0,0,0,1,0,1,0,,FOREST AVENUE                   ,1030696,SPORT UTILITY / STATION WAGON,,,,,
,Turning Improperly,Unspecified,,,,,2014-09-19T06:30:00,,,,0,0,0,0,0,0,0,0,,,2965937,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Lost Consciousness,,,,CATHEDRAL PARKWAY               ,2014-09-03T11:51:00,,,,0,0,0,0,0,0,0,0,,8 AVENUE                        ,1017831,PASSENGER VEHICLE,TAXI,,,,
,Driver Inattention/Distraction,Backing Unsafely,,,,,2014-09-18T01:30:00,,,,0,0,0,0,0,0,0,0,GAS STATION 97-44 SUTPHIN BLVD          ,,1026245,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Backing Unsafely,Unspecified,,,,,2014-09-16T15:43:00,,,,0,0,0,0,0,0,0,0,PARKING LOT 90-20 QB                    ,,1025204,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,WILLOUGHBY STREET               ,2014-09-04T18:00:00,,,,0,0,0,0,0,0,0,0,,SANFORD STREET                  ,1019167,PASSENGER VEHICLE,UNKNOWN,,,,
